#Area Id, In game location, Real life location, Latitude, Longitude, Radius
1, Pallet Town, Rönneholmsparken, 55.59512705093663, 12.975664718393825, 260
2, Route 1, Kronprinsen, 55.597761, 12.984693, 200
3, Viridian City, Stadsbiblioteket, 55.600634, 12.994125, 100
4, Route 2, Malmöhus slott, 55.605017, 12.987398, 160
5, Viridian Forest, Slottsmöllan, 55.602993, 12.985977, 75
6, Pewter City, Centralstationen, 55.609690, 13.001213, 240
7, Route 3, Caroli, 55.607156, 13.006722, 230
8, Mt Moon, Stortorget, 55.60616644794226, 13.000382038978142, 200
9, Route 4, Södergatan, 55.60455743460957, 13.001169966520727, 120
10, Cerulean City, Gustav Adolfs Torg, 55.6025723459476, 13.000000335695413, 120
11, Route 24/25, Raoul Wallenbergs Park, 55.60219762774146, 13.004911772499764, 190
12, Route 5, Victoriateatern, 55.59919322233735, 13.000979779675465, 100
13, Underground Path, Station Triangeln, 55.59301130898333, 13.003387182808954, 260
14, Route 6, Södervärn, 55.58822955593866, 13.007677282744131, 200
15, Vemillion City, Pildammarna, 55.59009900080049, 12.99386124844825, 550
16, SS Anne, Stadion, 55.58474144431578, 12.98838244866519, 350
17, Route 11, Möllevångstorget, 55.591664297142145, 13.00812867247393, 100
18, Digglett Cave, Magistratsparken, 55.59631405020198, 12.998217682329733, 130
19, Route 9/10 north, St Pauli Kyrka, 55.60318582264095, 13.014853209309655, 100
20, Rock Tunnel/ Route 10 south, Värnhem, 55.60556830092758, 13.023719506455652, 150
21, Power Plant, Beijers Park, 55.61032025557052, 13.050335620989063, 350
22, Lavender town, St Pauli Kyrkogård, 55.59931088212534, 13.023062220307313, 620
23, Route 8, Malmö Stadshus, 55.59820350847542, 13.007439823387191, 150
24, Saffron City, Triangeln köpcenter, 55.59603548073827, 13.001685141983032, 160
25, Route 7, Dalaplan, 55.58462621228302, 13.006315299853556, 150
26, Celadon City, Mobilia, 55.58112796937786, 13.003869759203464, 300
27, Route 12, Folkets Park, 55.59322845859443, 13.01350038269913, 290
28, Route 13/14/15, Bellevueparken, 55.583963891522174, 12.972044987093142, 300
29, Fuchia City, Sibbarp Kallbadhus, 55.57696281202721, 12.911236928641335, 250
30, Safari Zone, Kalkbrottet, 55.56778750491522, 12.932933259197991, 1000
31, Route 16/17/18, Djupadalsparken, 55.575253966013655, 12.956117787930383, 450
32, Route 19/20/Seafoam Islands, Limhamns Småbåtshamn, 55.582236504436324, 12.91721912201166, 500
33, Cinnibar Island, Ön, 55.5964717248898, 12.91374805601815, 1150
34, Route 21, Kallbadhuset Ribersborg, 55.603783, 12.966774, 250
35, Route 22/23, Ankarparken, 55.610833199249704, 12.97637663886918, 210
36, Victory Road, Varvsparken, 55.614663624186925, 12.980068492372206, 210
37, Indigo Plateau, Turning Torso, 55.61320778747362, 12.975959125028004, 150
38, Sevii Islands, Lagunen Småbåtshamn, 55.59708106777036, 12.935728589966681, 400
39, Cerulean Cave, Moderna Museet, 55.60477950211563, 13.009406524423294, 150
